Сталь-Сталь;Прямозубые;495;770;274
Сталь-Чугун;Прямозубые;445;700;234
Сталь-Бронза;Прямозубые;430;680;225
Чугун-Чугун;Прямозубые;415;645;209
Текстолит-Сталь;Прямозубые;200;310;69.5
ДСП-Сталь;Прямозубые;225;360;35
Полиамид-Сталь;Прямозубые;155;240;47.5
Сталь-Сталь;Косозубые и шевронные;430;675;274
Сталь-Чугун;Косозубые и шевронные;390;610;234
Сталь-Бронза;Косозубые и шевронные;375;600;225
Чугун-Чугун;Косозубые и шевронные;360;565;209
Текстолит-Сталь;Косозубые и шевронные;170;270;69.5
ДСП-Сталь;Косозубые и шевронные;195;310;35
Полиамид-Сталь;Косозубые и шевронные;135;210;47.5
